Society Name,BHK,Size (sq.ft),Estimation Level,Range Starting,Range Ending,Actual Min Price,Actual Max Price,Sanity Check
Brigade Cosmopolis,BHK2,1329,Society,"₹35,400","₹56,100","₹34,000","₹71,000",OVERLAP_OK
Brigade Cosmopolis,BHK3,1736,Society,"₹73,200","₹74,900","₹68,000","₹90,000",OVERLAP_OK
Brigade Woods,BHK2,1329,Society,"₹61,500","₹68,300","₹55,500","₹70,800",OVERLAP_OK
Brigade Woods,BHK3,1808,Society,"₹72,500","₹82,200","₹69,000","₹82,500",OVERLAP_OK
Casa Gopalan,BHK2,1446,Society,"₹45,600","₹48,500","₹45,000","₹54,000",OVERLAP_OK
Casa Gopalan,BHK3,1630,Market Segment,"₹54,100","₹69,900","₹50,000","₹50,000",POSSIBLY_HIGH
Citilights Rustique,BHK2,1371,Society,"₹45,000","₹48,000","₹23,000","₹49,000",OVERLAP_OK
Citilights Rustique,BHK3,1805,Society,"₹60,000","₹62,900","₹50,000","₹65,000",OVERLAP_OK
Dsr Green Vista,BHK2,1277,Society,"₹41,100","₹43,700","₹20,000","₹48,500",OVERLAP_OK
Dsr Green Vista,BHK3,1508,Society,"₹51,600","₹51,800","₹51,200","₹54,500",OVERLAP_OK
Godrej United,BHK2,1032,Global,"₹48,900","₹58,700","₹75,000","₹75,000",POSSIBLY_LOW
Godrej United,BHK3,2030,Society,"₹122,900","₹131,700","₹80,324","₹130,000",OVERLAP_OK
Gopalan Atlantis,BHK2,1222,Society,"₹44,700","₹49,900","₹39,910","₹50,000",OVERLAP_OK
Gopalan Atlantis,BHK3,1766,Society,"₹61,100","₹66,100","₹28,000","₹68,000",OVERLAP_OK
Mahaveer Tranquil,BHK2,1212,Society,"₹42,100","₹48,300","₹43,500","₹53,000",OVERLAP_OK
Mahaveer Tranquil,BHK3,1680,Society,"₹52,800","₹64,600","₹53,500","₹80,000",OVERLAP_OK
Prestige Boulevard,BHK2,1166,Society,"₹47,600","₹51,200","₹49,780","₹57,000",OVERLAP_OK
Prestige Boulevard,BHK3,1641,Society,"₹63,100","₹66,100","₹56,320","₹72,000",OVERLAP_OK
Prestige Palms,BHK2,1352,Society,"₹45,700","₹52,800","₹22,000","₹57,000",OVERLAP_OK
Prestige Palms,BHK3,1854,Market Segment,"₹54,100","₹69,900","₹58,300","₹62,462",OVERLAP_OK
Prestige Waterford,BHK2,2027,Global,"₹48,900","₹58,700","₹114,500","₹114,500",POSSIBLY_LOW
Prestige Waterford,BHK3,1879,Society,"₹89,200","₹95,900","₹77,000","₹950,000",OVERLAP_OK
Sobha Dream Acres,BHK2,1329,Predictive Model (Imputed),"₹46,000","₹62,300",N/A,N/A,NO_REFERENCE
Sobha Dream Acres,BHK3,1835,Predictive Model (Imputed),"₹59,800","₹81,100",N/A,N/A,NO_REFERENCE
Sobha Habitech,BHK2,1417,Society,"₹51,000","₹57,600","₹28,000","₹62,700",OVERLAP_OK
Sobha Habitech,BHK3,1936,Society,"₹76,200","₹79,200","₹65,000","₹91,500",OVERLAP_OK
Sobha Rose,BHK2,1329,Market Segment,"₹49,300","₹57,000",N/A,N/A,NO_REFERENCE
Sobha Rose,BHK3,1707,Society,"₹52,400","₹79,900","₹47,000","₹86,300",OVERLAP_OK
Sobha Windsor,BHK3,1835,Predictive Model (Imputed),"₹59,800","₹81,100",N/A,N/A,NO_REFERENCE
Sumadhura Silver Ripples,BHK2,1298,Society,"₹54,700","₹56,000","₹25,000","₹60,300",OVERLAP_OK
Sumadhura Silver Ripples,BHK3,1858,Society,"₹70,700","₹75,000","₹65,000","₹87,000",OVERLAP_OK
Sumadhura Soham,BHK2,1202,Society,"₹46,400","₹52,400","₹45,000","₹60,032",OVERLAP_OK
Sumadhura Soham,BHK3,1578,Society,"₹55,500","₹57,000","₹57,500","₹63,000",POSSIBLY_LOW
