,,,,,,,,,,,,,,
,Society Name,# of rooms,# of bathrooms,# of balcony,Super Area,Furnishing,Facing,Floor,Total floors,Price,Maintenance,Main_Included,Total price,Tenant Type
,Prestige Waterford,BHK3,5,2,2080,Semi,North-East,11,22,"95,000 ","14,000",TRUE,"109,000 ",FAMILY
,Sobha Habitech,BHK3,4,3,1920,Semi,,4,14,"70,000 ","9,600",TRUE,"79,600 ",FAMILY
,Sumadhura Soham,BHK2,2,1,1170,Full,West,4,4,"50,000 ","3,750",TRUE,"53,750 ",ANYONE
,Mahaveer Tranquil,BHK3,3,2,1680,Semi,East,1,11,"47,000 ","7,000",TRUE,"54,000 ",FAMILY
,Brigade Cosmopolis,BHK3,4,4,3480,Full,East,17,18,"160,000 ","17,000",TRUE,"177,000 ",FAMILY
,Prestige Boulevard,BHK2,2,1,1159,Semi,Don't Know,2,4,"52,000 ","5,000",TRUE,"57,000 ",FAMILY
,Sobha Habitech,BHK3,3,2,1852,Semi,South,6,15,"74,000 ","8,500",TRUE,"82,500 ",FAMILY
,Brigade Woods,BHK3,3,,1950,Full,East,1,4,"85,000 ","7,500",TRUE,"92,500 ",ANYONE
,Sobha Habitech,BHK2,2,2,1430,Semi,East,5,15,"48,000 ","4,000",TRUE,"52,000 ",FAMILY
,DSR Green Vista,BHK2,2,2,1216,Semi,West,2,4,"43,000 ","3,000",TRUE,"46,000 ",ANYONE
,Brigade Cosmopolis,BHK3,3,2,1720,Semi,West,10,17,"75,000 ","7,000",TRUE,"82,000 ",ANYONE
,Citilights Rustique,BHK2,2,2,1350,Semi,East,0,3,"41,000 ","6,000",TRUE,"47,000 ",ANYONE
,Brigade Woods,BHK3,3,2,1695,Semi,East,1,5,"75,000 ","7,200",TRUE,"82,200 ",COMPANY
,Sobha Habitech,BHK3,3,2,1868,Semi,West,1,13,"69,000 ","8,000",TRUE,"77,000 ",FAMILY
,Prestige Boulevard,BHK3,3,2,1594,Semi,East,2,4,"64,000 ","8,000",TRUE,"72,000 ",FAMILY
,Mahaveer Tranquil,BHK2,2,1,1250,Semi,East,9,12,"46,000 ","5,000",TRUE,"51,000 ",FAMILY
,Sumadhura Soham,BHK2,2,1,1260,Semi,North,3,4,"49,000 ","4,000",TRUE,"53,000 ",FAMILY
,Dsr Green Vista,BHK2,2,2,1300,Semi,East,1,4,"41,000 ","2,500",TRUE,"43,500 ",ANYONE
,Prestige Palms,BHK2,2,1,1336,Full,North-East,2,3,"60,000 ",,FALSE,"60,000 ",ANYONE
,Sumadhura Silver Ripples,BHK2,2,1,1320,Full,East,4,14,"60,000 ","5,000",TRUE,"65,000 ",FAMILY
,Prestige Waterford,BHK3,4,,1775,Semi,,11,22,"100,000 ",,FALSE,"100,000 ",ANYONE
,Prestige Waterford,BHK3,4,2,2027,Semi,North-East,2,23,"100,000 ","12,000",TRUE,"112,000 ",ANYONE
,Prestige Waterford,BHK3,4,2,1778,Semi,South-West,19,23,"950,000 ",,FALSE,"950,000 ",FAMILY
,Citilights Rustique,BHK3,3,3,1743,Semi,North,1,2,"53,999 ","8,500",TRUE,"62,499 ",ANYONE
,Mahaveer Tranquil,BHK3,3,3,1690,Semi,West,5,11,"60,000 ","8,000",TRUE,"68,000 ",FAMILY
